tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes
tt0311113,masterandcommanderthefarsideoftheworld,2003,"Action,Adventure,Drama",7.5,0,18.826145858727198,1,0,0,0,0,138
tt0327056,mysticriver,2003,"Crime,Drama,Mystery",7.9,1,17.034386422832473,1,0,0,0,0,138
tt0329575,seabiscuit,2003,"Drama,History,Sport",7.3,0,18.033546607256465,1,0,0,0,0,140
tt0335266,lostintranslation,2003,"Comedy,Drama",7.7,0,15.201805169084134,0,0,0,1,0,102
tt0338751,theaviator,2004,"Biography,Drama",7.5,0,18.5159909328476,0,1,1,0,0,170
tt0350258,ray,2004,"Biography,Drama,Music",7.7,0,17.694780797586514,0,0,0,0,0,152
tt0361748,inglouriousbasterds,2009,"Adventure,Drama,War",8.4,0,18.064005814299346,0,0,0,0,0,153
tt0375063,sideways,2004,"Comedy,Drama,Romance",7.5,0,17.694780797586514,0,0,0,1,0,127
tt0375679,crash,2005,"Crime,Drama,Thriller",7.7,0,15.687312888712007,0,0,0,0,1,112
tt0379725,capote,2005,"Biography,Crime,Drama",7.3,0,17.336957097334658,0,0,0,0,0,114
tt0388795,brokebackmountain,2005,"Drama,Romance",7.7,1,16.454567959008102,0,1,1,0,0,134
tt0405159,milliondollarbaby,2004,"Drama,Sport",8.1,1,17.694780797586514,1,0,0,0,1,132
tt0407887,thedeparted,2006,"Crime,Drama,Thriller",8.5,1,18.31532023940565,3,0,0,0,1,151
tt0408306,munich,2005,"Drama,History,Thriller",7.5,1,17.336957097334658,1,0,0,0,0,164
tt0421715,thecuriouscaseofbenjaminbutton,2008,"Drama,Fantasy,Romance",7.8,0,17.97204715610453,2,0,0,0,0,166
tt0433383,goodnightandgoodluck,2005,"Biography,Drama,History",7.4,0,15.76142084987672,0,0,0,0,0,93
tt0435761,toystory3,2010,"Adventure,Animation,Comedy",8.3,0,19.11382792951231,2,0,0,0,0,103
tt0436697,thequeen,2006,"Biography,Drama",7.3,0,16.997722439954657,0,1,0,0,0,103
tt0443272,lincoln,2012,"Biography,Drama,History",7.3,1,17.989897843244528,4,0,0,0,0,150
tt0449059,littlemisssunshine,2006,"Comedy,Drama",7.8,0,15.894952224644102,0,0,0,0,0,101
tt0449467,babel,2006,Drama,7.5,0,17.034386422832473,1,0,1,0,0,143
tt0454876,lifeofpi,2012,"Adventure,Drama,Fantasy",7.9,1,17.585278538868963,0,0,0,0,0,127
tt0465538,michaelclayton,2007,"Crime,Drama,Mystery",7.2,0,16.88356353960952,1,0,0,0,0,119
tt0467406,juno,2007,"Comedy,Drama",7.4,0,17.16760526162964,0,0,0,0,0,96
tt0469494,therewillbeblood,2007,Drama,8.2,0,17.034386422832473,0,0,0,0,0,158
tt0477302,extremelyloudincrediblyclose,2011,"Adventure,Drama,Mystery",6.9,0,17.806960715496647,3,0,0,0,0,129
tt0477348,nocountryforoldmen,2007,"Crime,Drama,Thriller",8.2,0,17.034386422832473,1,0,0,0,1,122
